Created Date,Gift Name,User ID,Product,Price,Has Relationship (Yes / No),Occasion,Use Case,Missing Value Check
28-01-2021,Milk Chocolate &amp; Toffee &quot;Thank you&quot; and Dark Chocolate &amp; Maldon Sea Salt Bars,45941690,GC,8.49,No,Just Because,Just Because / Miss you / Love,0
28-01-2021,Chocolate Drop Shortbread Rounds in Tin,39831583,PC,9.99,No,Sympathy,Get Well Soon,0
28-01-2021,Pink Marc de Champagne Chocolate Truffles,38201403,GC,14.99,No,Special Occasions,Engagement,0
28-01-2021,Thank You Mini Jar Of Paper Roses in a matchbox,41912950,PC,4.99,No,Just Because,Thank You,0
28-01-2021,Happy Birthday Music Box in a Matchbox,37825067,GC,5.99,No,Just Because,Just Because / Miss you / Love,0
28-01-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,40066256,PC,6.99,No,Sympathy,Get Well Soon,0
28-01-2021,Belgian Chocolates Selection,39511050,GC,13.99,No,Special Occasions,Happy Birthday,0
28-01-2021,English Breakfast Whole Leaf Tea Bags Caddy,39528292,PC,7.49,Yes,Just Because,Thank You,0
28-01-2021,Belgian Chocolates Selection,43331124,GC,13.99,No,Special Occasions,Happy Birthday,0
28-01-2021,Pink Marc de Champagne Chocolate Truffles,39768990,PC,14.99,No,Just Because,Thank You,0
28-01-2021,&quot;Sorry Youre Pawly&quot; Puppy,44110486,PC,11.99,No,Sympathy,Get Well Soon,0
28-01-2021,Happy Birthday Pearl And Candle In a Matchbox,42088924,PC,4.99,No,Special Occasions,Happy Birthday,0
28-01-2021,Chocolate Drop Shortbread Rounds in Tin,40462852,PC,9.99,No,Just Because,Thank You,0
28-01-2021,Gold and glass photo frame,40387832,GC,14.99,No,Just Because,Thank You,0
28-01-2021,Belgian Chocolates Selection,45917734,PC,13.99,Yes,Just Because,Just Because / Miss you / Love,0
28-01-2021,Demerara Shortbread Rounds Tin,43635066,GC,9.99,No,Special Occasions,New Home,0
28-01-2021,Gold and glass photo frame,38899468,PC,14.99,No,Just Because,Just Because / Miss you / Love,0
